Latitude,Longitude,ein,year_,num_grants,amt_grants,LSC,num_LSC,amt_LSC_gr,org_revenu,org_outlier,CJS_house,CJS_house_,CJS_senate,CJS_sena_1,gov_pres_p,LANDSQMILE,Population,pop_dens,HIGHSCHOOL,NOT_HSGRAD,FOREI_BORN,NATURALIZE,NOT_US_CIT,NOT_ENG_HO,NOT_ENG_LE,SPAN_LEP,VETERAN,NO_VEHI_HH,OWN_UNITS,RENT_UNIT,MIL_LABOR,MIL_ALL16,NOFIXBB,FIXBB,NOFIXBB_UR,FIXBB_UR,NOFIXBB_RU,FIXBB_RU,FIXHH200KC,FIXHH3MC,POVERTY,POV_U18YR,POV_1864YR,POV_O64YR,POVERTY50,POVERTY125,POVERTY185,POVERTY200,U18_U125,U18_U175,O17_U100,O17_U125,O17_U175,FIXBB200K,FIXBB3M,POP_SQMI,UNDER18,AGE18to29,AGE30to44,AGE45to59,OVER59,NOFIXBBINT,FIXBBINT,U18_175_O,O17_175_O,NOT_POV200,POVERTY150,count,competition_10,competition_30,OBJECTID,Shape_Leng,Shape_Area,OBJECTID_1,Shape_Le_1,Shape_Ar_1,OBJECTID_2,STATE,COUNTY,GEOID10,ID,NAME_1,STATE_NAME,ST_ABBREV,AREA,TOTPOP10,POPDENS10,MALES10,FEMALES10,HHPOP10,FAMPOP10,POPGRW0010,URBARPOP10,URBCLPOP10,RURALPOP10,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,WHTNHISP10,MINORITY10,DIVINDX10,AVGHSZWH10,AVGHSZBL10,AVGHSZAI10,AVGHSZAS10,AVGHSZPI10,AVGHSZOT10,AVGHSZ2R10,AVGHSZHS10,HHWHTHHR10,HHBLKHHR10,HHAIHHR10,HHASNHHR10,HHPIHHR10,HHOTHHHR10,HHMLTHHR10,HHHSPHHR10,FAMHHWHT10,FAMHHBLK10,FAMHHAI10,FAMHHASN10,FAMHHPI10,FAMHHOTH10,FAMHHMLT10,FAMHHWNH10,FAMHHHSP10,HWFAMWHT10,HWFAMBLK10,HWFAMAI10,HWFAMASN10,HWFAMPI10,HWFAMOTH10,HWFAMMLT10,HWFAMWNH10,HWFAMHSP10,OFAMWHT10,OFAMBLK10,OFAMAI10,OFAMASN10,OFAMPI10,OFAMOTH10,OFAMMLT10,OFAMWNH10,OFAMHSP10,NFAMWHT10,NFAMBLK10,NFAMAI10,NFAMASN10,NFAMPI10,NFAMOTH10,NFAMMLT10,NFAMWNH10,NFAMHSP10,FWHTU18O10,FBLKU18O10,FAIU18O10,FASNU18O10,FPIU18O10,FOTHU18O10,FMLTU18O10,FWNHU18O10,FHSPU18O10,FWHTU18R10,FBLKU18R10,FAIU18R10,FASNU18R10,FPIU18R10,FOTHU18R10,FMLTU18R10,FWNHU18R10,FHSPU18R10,HPWHTHHR10,HPBLKHHR10,HPAIHHR10,HPASNHHR10,HPPIHHR10,HPOTHHHR10,HPMLTHHR10,HPHSPHHR10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,HHRACBAS10,FMRACBAS10,HWRACBAS10,OFRACBAS10,NFRACBAS10,OORACBAS10,RORACBAS10,TOTPOP00,HHPOP00,FAMPOP00,TOTHH00,FAMHH00,TOTHU00,OWNER00,RENTER00,Shape__Are,Shape__Len
31.69908341,-87.80271064,631162511,2015,2,62287,0,0,0,244163.6667,FALSE,0,0,1,0,0,1238.469971,25331,20.45346322,80.1,19.9,0.6,0.3,0.3,1.3,0.4,0.2,7.5,12,70.1,29.9,0,0,48,52,6,94,61,39,3,2,27,35.3,27,15.9,13.1,32,44.2,46.9,40.4,46.1,24.5,29.5,40.9,>40 to 60%,>20 to 40%,20.45350075,23.5,13.39999962,18.20000076,22.29999924,22.60000038,48,52,53.90000153,59.09999847,53.09999847,36.70000076,1,0,0,0,0,0,0,0,0,22,1,25,1025,1025,Clarke County,Alabama,AL,1252.57779,25833,20.9,12214,13619,25553,21753,-0.76,0,6205,19628,14070,11336,103,77,4,67,176,271,127,56,7,3,0,58,20,13943,11890,52.1,2.4,2.56,2.94,3.17,3,2.82,2.48,2.78,5815,4397,34,23,1,17,50,78,4176,2944,25,17,1,9,32,4153,48,3467,1463,18,16,1,5,19,3450,31,709,1481,7,1,0,4,13,703,17,1639,1453,9,6,0,8,18,1624,30,1544,1435,14,10,1,3,14,1536,21,1716,1775,18,10,1,5,17,1706,26,13957,11248,100,73,3,48,124,217,25833,25657,19444,19351,271,251,183,174,6389,10337,7204,4989,2215,3133,7996,2341,27867,27480,24088,10578,7699,12631,8587,1991,4493109118,454068.7498
31.69908341,-87.80271064,631162511,2016,4,24398,0,0,0,244163.6667,FALSE,0,0,1,0,1,1238.469971,25331,20.45346322,80.1,19.9,0.6,0.3,0.3,1.3,0.4,0.2,7.5,12,70.1,29.9,0,0,48,52,6,94,61,39,3,2,27,35.3,27,15.9,13.1,32,44.2,46.9,40.4,46.1,24.5,29.5,40.9,>40 to 60%,>20 to 40%,20.45350075,23.5,13.39999962,18.20000076,22.29999924,22.60000038,48,52,53.90000153,59.09999847,53.09999847,36.70000076,1,0,0,0,0,0,0,0,0,22,1,25,1025,1025,Clarke County,Alabama,AL,1252.57779,25833,20.9,12214,13619,25553,21753,-0.76,0,6205,19628,14070,11336,103,77,4,67,176,271,127,56,7,3,0,58,20,13943,11890,52.1,2.4,2.56,2.94,3.17,3,2.82,2.48,2.78,5815,4397,34,23,1,17,50,78,4176,2944,25,17,1,9,32,4153,48,3467,1463,18,16,1,5,19,3450,31,709,1481,7,1,0,4,13,703,17,1639,1453,9,6,0,8,18,1624,30,1544,1435,14,10,1,3,14,1536,21,1716,1775,18,10,1,5,17,1706,26,13957,11248,100,73,3,48,124,217,25833,25657,19444,19351,271,251,183,174,6389,10337,7204,4989,2215,3133,7996,2341,27867,27480,24088,10578,7699,12631,8587,1991,4493109118,454068.7498
31.69908341,-87.80271064,631162511,2017,2,3500,0,0,0,244163.6667,FALSE,0,0,1,1,1,1238.469971,25331,20.45346322,80.1,19.9,0.6,0.3,0.3,1.3,0.4,0.2,7.5,12,70.1,29.9,0,0,48,52,6,94,61,39,3,2,27,35.3,27,15.9,13.1,32,44.2,46.9,40.4,46.1,24.5,29.5,40.9,>40 to 60%,>20 to 40%,20.45350075,23.5,13.39999962,18.20000076,22.29999924,22.60000038,48,52,53.90000153,59.09999847,53.09999847,36.70000076,1,0,0,0,0,0,0,0,0,22,1,25,1025,1025,Clarke County,Alabama,AL,1252.57779,25833,20.9,12214,13619,25553,21753,-0.76,0,6205,19628,14070,11336,103,77,4,67,176,271,127,56,7,3,0,58,20,13943,11890,52.1,2.4,2.56,2.94,3.17,3,2.82,2.48,2.78,5815,4397,34,23,1,17,50,78,4176,2944,25,17,1,9,32,4153,48,3467,1463,18,16,1,5,19,3450,31,709,1481,7,1,0,4,13,703,17,1639,1453,9,6,0,8,18,1624,30,1544,1435,14,10,1,3,14,1536,21,1716,1775,18,10,1,5,17,1706,26,13957,11248,100,73,3,48,124,217,25833,25657,19444,19351,271,251,183,174,6389,10337,7204,4989,2215,3133,7996,2341,27867,27480,24088,10578,7699,12631,8587,1991,4493109118,454068.7498
33.5155188,-86.805234,134270862,2015,1,93000,0,0,0,459035.3333,FALSE,0,0,1,0,0,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.5155188,-86.805234,630341366,2015,1,9473,0,0,0,2110358.5,FALSE,0,0,1,0,0,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.5155188,-86.805234,630341366,2015,1,9473,0,0,0,2110358.5,FALSE,0,0,1,0,0,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.4781855,-86.7883798,631201369,2015,3,33300,0,0,0,122342.5,FALSE,0,0,1,0,0,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.5155188,-86.805234,134270862,2016,1,114500,0,0,0,459035.3333,FALSE,0,0,1,0,1,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.5155188,-86.805234,630341366,2016,1,7216,0,0,0,2110358.5,FALSE,0,0,1,0,1,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
33.5155188,-86.805234,630341366,2016,1,7216,0,0,0,2110358.5,FALSE,0,0,1,0,1,1111.280029,658834,592.8604696,87.7,12.3,3.9,1.3,2.7,5.9,2.7,2,8.8,8,63.9,36.1,0.1,0.1,6,94,5,95,19,81,4,4,18.7,27.9,17,10.7,8.2,23.9,35.1,37.8,34.2,43.7,15.9,20.8,30.2,>60 to 80%,>60 to 80%,592.8599853,23.20000076,16.79999924,19.60000038,20.79999924,19.60000038,6,94,56.29999924,69.80000305,62.20000076,28.60000038,1,0,0,0,0,0,0,0,0,34,1,73,1073,1073,Jefferson County,Alabama,AL,1124.076959,658466,592.5,311813,346653,642692,519490,-0.05,592559,1155,64752,349166,276525,1740,9158,244,14358,7275,25488,8953,1014,309,73,90,13827,1222,340213,318253,57.6,2.32,2.54,2.62,2.68,2.9,3.83,2.51,3.56,147407,106484,664,3205,84,3633,2091,6790,93986,69501,421,2186,61,2794,1258,92134,5068,76220,29271,275,1873,31,1792,766,74894,3337,17766,40230,146,313,30,1002,492,17240,1731,53421,36983,243,1019,23,839,833,52701,1722,35491,32885,170,1236,30,1942,597,34352,3320,39197,40164,206,1289,35,2103,676,37975,3601,342448,270492,1742,8604,244,13910,5252,24176,658466,651191,503938,499863,25488,24266,17090,16429,154528,263568,170207,110228,59979,93361,171158,92410,662047,645934,535038,263265,175950,288162,175021,88244,4202227400,349039.7453
